"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Prefeitura Municipal de Fortaleza";"AIH - Dados das Autorizações de Internação Hospitalar";"Este conjunto de dados refere-se às informações registradas relativas às internações hospitalares no município de Fortaleza, com dados de faturamento.";"saúde";"4";"0";"17";"0"
"Prefeitura Municipal de Fortaleza";"Aberturas de Crédito Adicionais - 2015";"";"";"2";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Agricultura Urbana-Espaços Produtivos na Área Urbana";"  Mapa com os espaços produtivos entre os anos de 2016 e 2019.  ";"";"1";"0";"7";"0"
"Prefeitura Municipal de Fortaleza";"Arrecadação ICMS Turismo";"Data, bairro, cnae, poligonal(sim ou não), classe do cnae, valor.
Série histórica desde 2015.
 Vide dashboard no site do Observatório do Turismo ==> https://observatorio.setfor.fortaleza.ce.gov.br/";"";"1";"0";"15";"0"
"Prefeitura Municipal de Fortaleza";"Arrecadação ISS Turismo";"arquivo com data, bairro, cnae, descrição do cnae, segmento, valor do serviço, valor do imposto e quantidade de notas.
Série histórica desde 2015.
Vide dashboard no site do Observatório do Turismo ==> https://observatorio.setfor.fortaleza.ce.gov.br/";"ISS,arrecadação,setfor,turismo";"1";"0";"12";"0"
"Prefeitura Municipal de Fortaleza";"Assentamentos Precários - Assentamentos Precários";"Delimitação dos assentamentos precários  encontradas dentro do limite municipal.";"";"1";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Atendimentos-2º Semestre-2022";"";"";"1";"0";"0";"0"
"Prefeitura Municipal de Fortaleza";"Atividades Econômicas - Feiras Livres";"Mercados temporários que acontecem em espaços públicos de vários bairros da cidade de Fortaleza.";"";"1";"0";"4";"1"
"Prefeitura Municipal de Fortaleza";"Autos de Infrações Ambientais lavrados pela Agência de Fiscalização de Fortaleza - AGEFIS";"Conjunto de dados das autuações realizadas pela AGEFIS por infrações ambientais em Fortaleza";"fiscalização ambiental auto multa Agefis";"3";"0";"13";"0"
"Prefeitura Municipal de Fortaleza";"Ações Culturais";"Serviços, ações e programas culturais.";"Cultura";"5";"0";"2";"0"
"Prefeitura Municipal de Fortaleza";"Bacias Hidrográficas";"Delimitação das bacias hidrográficas encontradas dentro do limite municipal.";"bacia,hidrografica,seuma";"1";"0";"6";"0"
"Prefeitura Municipal de Fortaleza";"Bairros";"Delimitação dos bairros municipais.";"bairros,seuma";"1";"0";"7";"0"
"Prefeitura Municipal de Fortaleza";"Balancetes (SIM) - 2015";"Este conjunto de dados contem documentação referente aos balancetes ( Sistema de Informações Municipais) - ref. 2015";"economia,governo";"5";"0";"0";"0"
